Date,AAPL,AMZN,BAC,GOOGL,JNJ,JPM,META,MSFT,TSLA,XOM,^GSPC
2018-01-02,40.30417251586914,59.45050048828125,24.63749885559082,53.22063064575195,110.76416778564453,86.34088134765625,180.1614990234375,78.87035369873047,21.368667602539062,58.58041000366211,2695.81005859375
2018-01-03,40.29716110229492,60.209999084472656,24.555095672607422,54.128623962402344,111.82225036621094,86.42887115478516,183.3889617919922,79.23741149902344,21.149999618530273,59.73094940185547,2713.06005859375
2018-01-04,40.484344482421875,60.47949981689453,24.876455307006836,54.338890075683594,111.81431579589844,87.66699981689453,183.05133056640625,79.93479919433594,20.974666595458984,59.81362533569336,2723.989990234375
2018-01-05,40.94525909423828,61.457000732421875,24.991811752319336,55.05943298339844,112.73715209960938,87.10421752929688,185.55384826660156,80.92584228515625,21.10533332824707,59.76539611816406,2743.14990234375
2018-01-08,40.793182373046875,62.34349822998047,24.818782806396484,55.25382614135742,112.88033294677734,87.23287963867188,186.9739227294922,81.0084457397461,22.42733383178711,60.03407669067383,2747.7099609375
2018-01-09,40.78849411010742,62.6349983215332,24.942373275756836,55.18340301513672,114.67029571533203,87.67505645751953,186.5667724609375,80.95339965820312,22.246000289916992,59.77918243408203,2751.2900390625
2018-01-10,40.779144287109375,62.71649932861328,25.1730899810791,55.051998138427734,114.53507232666016,88.63983917236328,186.53697204589844,80.58633422851562,22.31999969482422,59.30381774902344,2748.22998046875
2018-01-11,41.010772705078125,63.83399963378906,25.263731002807617,55.14671325683594,115.18742370605469,89.11418914794922,186.4674530029297,80.82491302490234,22.530000686645508,59.88941192626953,2767.56005859375
2018-01-12,41.43426513671875,65.26000213623047,25.70045280456543,56.069087982177734,115.95913696289062,90.58549499511719,178.12571716308594,82.21971893310547,22.4146671295166,60.295875549316406,2786.239990234375
2018-01-16,41.22369384765625,65.24299621582031,25.74165153503418,56.071571350097656,116.83419799804688,90.263916015625,177.15252685546875,81.07268524169922,22.67066764831543,59.91695785522461,2776.419921875
2018-01-17,41.904541015625,64.75,25.69221305847168,56.48812484741211,116.92964935302734,90.84278869628906,176.36801147460938,82.7152328491211,23.143999099731445,60.62656784057617,2802.56005859375
