Date,Ticker,Log_Return,Sector,Adj_Close,Weight,Weighted_Return
2018-01-03,AAPL,-0.0001742615505576,Tech,40.29716110229492,0.09090909090909091,-1.58419591416e-05
2018-01-04,AAPL,0.0046341325783612,Tech,40.484336853027344,0.09090909090909091,0.0004212847798510182
2018-01-05,AAPL,0.0113210619560378,Tech,40.94526672363281,0.09090909090909091,0.001029187450548891
2018-01-08,AAPL,-0.0037213416593156,Tech,40.79317855834961,0.09090909090909091,-0.0003383037872105091
2018-01-09,AAPL,-0.0001147471773523,Tech,40.78849792480469,0.09090909090909091,-1.0431561577481819e-05
2018-01-10,AAPL,-0.0002296274083261,Tech,40.77913284301758,0.09090909090909091,-2.0875218938736365e-05
2018-01-11,AAPL,0.0056641874302926,Tech,41.01076889038086,0.09090909090909091,0.0005149261300266
2018-01-12,AAPL,0.0102732345385431,Tech,41.43425369262695,0.09090909090909091,0.0009339304125948273
2018-01-16,AAPL,-0.0050951083215787,Tech,41.22367858886719,0.09090909090909091,-0.0004631916655980637
2018-01-17,AAPL,0.0163817483527354,Tech,41.90455627441406,0.09090909090909091,0.001489249850248673
2018-01-18,AAPL,0.0008926351645075,Tech,41.94197845458984,0.09090909090909091,8.114865131886363e-05
2018-01-19,AAPL,-0.0044728096691408,Tech,41.75479888916016,0.09090909090909091,-0.00040661906083098184
2018-01-22,AAPL,-0.008214524188435,Tech,41.4132080078125,0.09090909090909091,-0.0007467749262213636
2018-01-23,AAPL,0.000225927809704,Tech,41.42256546020508,0.09090909090909091,2.0538891791272727e-05
2018-01-24,AAPL,-0.0160567746931702,Tech,40.76276397705078,0.09090909090909091,-0.0014597067902882002
2018-01-25,AAPL,-0.0180123766929047,Tech,40.03510284423828,0.09090909090909091,-0.0016374887902640635
2018-01-26,AAPL,0.0023354402302402,Tech,40.12871170043945,0.09090909090909091,0.00021231274820365456
2018-01-29,AAPL,-0.0209160182997504,Tech,39.298095703125,0.09090909090909091,-0.0019014562090682182
2018-01-30,AAPL,-0.0059117727631796,Tech,39.06645965576172,0.09090909090909091,-0.0005374338875617819
2018-01-31,AAPL,0.0027512061308051,Tech,39.17408752441406,0.09090909090909091,0.00025010964825500907
2018-02-01,AAPL,0.0020883304512331,Tech,39.2559814453125,0.09090909090909091,0.00018984822283937274
2018-02-02,AAPL,-0.0443596626462905,Tech,37.55265808105469,0.09090909090909091,-0.004032696604208227
2018-02-05,AAPL,-0.0253018570360288,Tech,36.61442565917969,0.09090909090909091,-0.0023001688214571636
2018-02-06,AAPL,0.0409416924858101,Tech,38.14459228515625,0.09090909090909091,0.003721972044164555
2018-02-07,AAPL,-0.0216390810351157,Tech,37.32804489135742,0.09090909090909091,-0.001967189185010518
2018-02-08,AAPL,-0.0279025022499015,Tech,36.30089569091797,0.09090909090909091,-0.0025365911136274095
2018-02-09,AAPL,0.0121571218764825,Tech,36.744903564453125,0.09090909090909091,0.0011051928978620454
2018-02-12,AAPL,0.0394888770257179,Tech,38.22494888305664,0.09090909090909091,0.0035898979114289
2018-02-13,AAPL,0.0099678779990971,Tech,38.60787582397461,0.09090909090909091,0.0009061707271906455
2018-02-14,AAPL,0.0182693306190252,Tech,39.31969833374024,0.09090909090909091,0.0016608482380932
2018-02-15,AAPL,0.0330272589496634,Tech,40.6400032043457,0.09090909090909091,0.0030024780863330365
2018-02-16,AAPL,-0.0032425813025911,Tech,40.50843811035156,0.09090909090909091,-0.00029478011841737277
2018-02-20,AAPL,-0.0033693436607566,Tech,40.3721809387207,0.09090909090909091,-0.00030630396915969093
2018-02-21,AAPL,-0.0045490751014369,Tech,40.188941955566406,0.09090909090909091,-0.0004135522819488091
