,Final_Portfolio_Value
0,0.6500286120159068
1,1.1574812885471166
2,1.3315427515768592
3,1.1774012407500483
4,0.9493436616743581
5,0.8983232414630634
6,0.8706952261894798
7,1.277172748786799
8,1.7309417589470548
9,1.026600683842131
10,0.9306592167983738
11,0.9319777474904151
12,1.3011312921236262
13,1.166600886545992
14,0.9401669825964702
15,1.3316017294140936
16,0.6280503108910569
17,1.401193891135246
18,1.050390896825521
19,1.0139081531983851
20,0.639762269888827
21,1.0710379632597236
22,1.1662149731445444
23,1.1004683249685605
24,0.9467220671738378
25,1.5177654622137782
26,1.0614365342118304
27,1.180311562874482
28,0.9865842226293479
29,0.6439911474179744
30,1.050665937487291
31,0.7400443917524434
32,0.8802810237493457
33,1.184425206585437
34,0.9588933783885483
35,1.3130641484125996
36,1.2958459529044857
37,1.8590898009904928
38,1.2096695449417187
39,0.9880392643693899
40,1.093984429894808
41,1.0934092991749154
42,1.1644639239684924
43,1.1159485398621745
44,0.9068529567346961
45,1.1915382151492602
46,1.3111606768247204
47,1.3330067103043985
48,1.1329357346761748
49,0.8521383550703171
50,0.9450771801507315
51,1.1054923928790517
52,1.3781995133006744
53,1.239471034757503
54,1.9004772500048606
55,0.9559717503825752
56,0.7491935652024975
57,0.8540946673983689
58,1.4252819366523184
59,2.0831084769711516
60,1.511520246103245
61,1.3248045086552374
62,1.3250653225857616
63,1.6341344576949408
64,0.9391624088106665
65,1.6296371347674132
66,1.6325560414492901
67,1.1471292211743511
68,1.180488442176259
69,0.8403015209387312
70,1.5128306284018105
71,1.0136817238738953
72,0.8458528845378663
73,1.0346942471758624
74,1.0768496018762144
75,1.3146886633828196
76,1.5233294173702348
77,1.6504193948410824
78,1.0205161281730035
79,1.1051908773979127
80,0.931530995271834
81,1.2055483938757985
82,1.4266006734708898
83,0.7719174236911884
84,1.2620482711569936
85,0.8984027833180189
86,0.890792004453892
87,0.8195715724263449
88,1.1924602262173132
89,1.1665274249115516
90,1.0690724767945696
91,1.2540660759293938
92,1.4391656114519278
93,1.0043913325276028
94,1.0743991011806617
95,1.2330029433077403
96,0.6812240367743667
97,0.8734209090401241
98,1.2369832430084082
99,0.9272664570289668
100,0.9913738217665239
101,1.1303042461938566
102,0.853068805977181
103,1.1357545568647534
104,1.1022343864297157
105,1.0727544537232832
106,1.027331179016623
107,1.087180206303168
108,1.2546824757690813
109,0.9833384832053326
110,1.3496784291047343
111,1.487113109806123
112,0.90589886032212
113,1.4912498192455221
114,0.8390314084705423
115,0.9568296115844378
116,1.0586478864755682
117,0.9530495251078615
118,1.0935985042288334
119,1.4966878554293253
120,1.2719800334091604
121,1.1102534752327142
122,0.8510239179994078
123,2.0074351895165323
124,1.5413318371335396
125,1.328210809024919
126,1.155368180042223
127,0.841455718222549
128,0.8563619845225665
129,1.025228322789218
130,1.0959956472576469
131,1.6183884248679943
132,0.775719643661017
133,0.9772408762137755
134,0.9743749238382381
135,1.0487020807907457
136,1.1181382971184382
137,1.37170398813702
138,0.8255910201132837
139,1.1939141848737564
140,1.149846504555116
141,1.6393924064855998
142,0.7669224657657117
143,1.0403626113914795
144,0.9543924930223519
145,1.1661511606772288
146,1.4276336306601198
147,0.9300345444472858
148,0.9358239936725454
149,0.8731462353690721
150,1.4159145295392754
151,1.048110810261648
152,1.0106977184427275
153,1.2116305192397698
154,1.4102434405255393
155,0.9523485692526967
156,1.2856326718525222
157,0.9906098949817422
158,0.7998297472583616
159,1.2299222604628093
160,1.0599308723118477
161,0.9121721032959089
162,0.8948297934330255
163,1.6500809983831626
164,1.004506134651916
165,1.175370670926865
166,1.5448962305955718
167,1.1275423947050682
168,1.153575949248852
169,1.447397742743346
170,0.8982551701218023
171,1.049277214756625
172,0.7711022057997599
173,1.4225671189933742
174,0.8277810104233803
175,1.4025183982458376
176,1.243590946085998
177,1.1341677205539222
178,0.9969436432634132
179,1.140501407364692
180,1.1096194339059278
181,1.176522277215752
182,0.754556958047122
183,2.3823159321660876
184,0.8632383362831265
185,1.6700128034133137
186,1.5703397010458546
187,1.3307974429672769
188,1.2659024636249634
189,1.4955865692232089
190,0.9576189057241608
191,1.227332172654548
192,1.1289378429523915
193,1.319804838241325
194,1.2201677691142443
195,1.1561975412839165
196,1.4684521187638142
197,1.2709747727961516
198,1.123075939895771
199,0.8658381339701319
200,1.3260247182861264
201,1.3286052935626012
202,1.1273279391263438
203,0.9315972056152385
204,2.042109801497232
205,0.7945454469350877
206,1.5969675941794057
207,1.1926957650543561
208,1.0675871389244473
209,1.1282839864726444
210,1.5573079652674569
211,1.2315072829761957
212,1.3461104527411367
213,1.4956376278473658
214,1.779759569682036
215,0.7418975467030358
216,1.7450207285568151
217,1.1739524546809077
218,1.2437290130095848
219,0.9738678387691326
220,0.748234093466031
221,1.0819090770307958
222,0.789422101170695
223,1.285272578894502
224,0.8949494862837096
225,1.0302406738580892
226,0.9667532036153379
227,0.9383825513679692
228,1.2271097958962087
229,1.3419368946042778
230,1.207641211578576
231,1.2436549721782968
232,1.3917052880446876
233,1.636882201815159
234,1.5801475385193404
235,1.059740850207429
236,0.8253929420407572
237,1.2349385237241919
238,1.5304115103015943
239,0.8607950524032406
240,1.1799479110949584
241,1.3714790440525346
242,1.134721522826071
243,1.3045552099122188
244,1.137973413261447
245,1.178333756517771
246,0.8098287428543122
247,1.1292601775880116
248,0.7438630686577931
249,0.7420518050229575
250,1.4681196282081748
251,0.951057166626949
252,0.8102495997393157
253,0.8635833067925283
254,0.8747778724263144
255,1.1566325140259643
256,0.8103143889105693
257,1.4960245087646642
258,1.4868961633136832
259,1.5630719407687292
260,1.0751985959051094
261,1.3282066897315075
262,1.1092642052386479
263,0.955586748671024
264,0.699990809226737
265,1.1407990857247994
266,1.40090044339621
267,1.6222491186968584
268,1.2088286437352995
269,1.1847527622502723
270,1.747596144797137
271,0.9550233312610311
272,0.9691946288465653
273,1.345854329501183
274,1.0078545171853932
275,1.3408877776539494
276,1.4763220317980081
277,1.122555271556303
278,1.5963171818013802
279,1.381153599077625
280,0.9258970824017062
281,1.7897975657576992
282,0.9582968388340483
283,1.1415527917424457
284,1.7434045391954176
285,1.3005845924757322
286,1.4117900305768156
287,1.5183635481604694
288,0.9375517942385211
289,1.3342241014983145
290,0.9447623230329657
291,0.6461964999826958
292,1.4017911121235471
293,0.9766294187584226
294,1.3118191529527572
295,0.9474094417996508
296,1.3013496975121146
297,0.9406069013202045
298,0.7290725152986985
299,1.1932767472065666
300,1.0200902913310315
301,1.253656227645396
302,1.9101304387220377
303,0.6628814690590762
304,0.8609720347661739
305,0.7361106422696844
306,1.336081421244794
307,0.975224844263577
308,1.235104626725056
309,1.0130803483218491
310,1.036745949689872
311,0.763761570975775
312,1.0343387807378168
313,1.4509340368513737
314,1.3004611121830103
315,0.9936444061997999
316,0.8873785711492884
317,1.6571690770769554
318,0.7343525144297401
319,1.2702156021343272
320,1.5062446430867347
321,0.9036109835482474
322,0.9713616595353983
323,1.6101143228576542
324,1.1854477432479862
325,1.283162199617501
326,1.0046183876044834
327,0.9972750885444929
328,0.65548493820186
329,1.2135954467771282
330,1.4487538858651057
331,0.9365444545593874
332,0.6351331638059188
333,1.1210341941002075
334,1.0482390705498164
335,1.0180380323169147
336,1.2990987076330784
337,1.0727744777037125
338,1.4179720101455453
339,1.1821053496014045
340,0.9278553008688637
341,0.9615316691461173
342,0.8921090921885174
343,1.4823295933526175
344,1.4154577196090818
345,1.2992647875750758
346,1.2012626018765376
347,1.5125618147191593
348,1.1759561870925406
349,1.2409123872880032
350,1.130269517927133
